Slug,Date,Headliner,Event,Venue,City,Attendees,Notes,Link
Isis,4/02/2007,Isis,,The Hi-Fi,,Dobrivoj,,https://www.liveguide.com.au/Events/457895/ISIS/ISIS
ExplosionsintheSky,,Explosions in the Sky,,Corner Hotel,,,,
BelleandSebastian,,Belle and Sebastian,,The Forum,,,,
PJHarvey,,PJ Harvey,,Festival Hall,,,,
TheShins,,The Shins,,Corner Hotel,,,,
MWard,,M. Ward,,Corner Hotel,,,,
TheSeaandCake,,The Sea and Cake,,Northcote Social Club,,,,
WildNothing,,Wild Nothing,,The Tote,,,,
WildNothing,,Wild Nothing,,Toff in Town,,,,
ToriAmos,,Tori Amos,,Hamer Hall,,,,
SigurRos,,Sigur Ros,,Hamer Hall,,,,
Mono,,Mono,,Hi-Fi Bar,,,,
Slayer,,Slayer,,Vodafone Arena,,,,
TheMountainGoats,,The Mountain Goats,,,,,,
FuckButtons,,Fuck Buttons,,,,,,
,,,All Tomorrow's Parties,Mt. Buller,,,,
DirtyThree,,Dirty Three,Play Ocean Songs in full,,,,,
Caspian,,Caspian,,,Los Angeles,,,
daysofstatic,,65daysofstatic,,,Los Angeles,,,
ThisWillDestroyYou,,This Will Destroy You,,,,,,
Battles,,Battles,,,,,,
Grails,,Grails,,Northcote Social Club,,,,
Grails,,Grails,,Bush Hall,London,,,
SignalHill,,Signal Hill,,East Brunswick Club,,,,
AllIndiaRadio,,All India Radio,,,,,,
RealEstate,,Real Estate,,Corner Hotel,,,,http://thedwarf.com.au/photo/20690/real-estate
DIIV,,DIIV,,Corner Hotel,,,,
BeachFossils,,Beach Fossils,,Corner Hotel,,,,
CameraObscura,,Camera Obscura,,Cloud City,,,,
StarsoftheLid,,Stars of the Lid,,,,,,
AWingedVictoryfortheSullen,,A Winged Victory for the Sullen,,Melbourne Recital Centre?,,Bryan,,
Mogwai,,Mogwai,,Roundhouse,London,,,
Mogwai,,Mogwai,,,,Phaethon,Had a car accident that night,
SignalHill,,Signal Hill,,Irene's Warehouse,,,,
RealEstate,,Real Estate,,,DC,,,
Tycho,,Tycho,,,DC,,,
DaftPunk,13/12/2007,Daft Punk,,,,"Luke Melican, Matt, Tim",,
BohrenundderClubofGore,,Bohren und der Club of Gore,,,London,,,
DIIV,,DIIV,,,London,,,
ChastityBelt,,Chastity Belt,,,London,,,
PipBlom,,Pip Blom,,,London,,,
Tennis,,Tennis,,,London,,,
GodspeedYou!BlackEmperor,,Godspeed You! Black Emperor,,,Tokyo,,,
